lut_id,rec_psnr,affine_psnr,nonaffine_rms,clip_frac,lip_p999,curv_mean,hue_rot_std
e18__e18_000902,48.69433298885457,25.526929703759862,0.052924104075823326,0.2890625,2.9161291122436523,1.1726371049880981,0.1993875885760313
e18__e18_000965,44.19225614912045,25.288394601814925,0.05439766647097055,0.0,3.3376102447509766,2.507585287094116,0.214371988492353
e18__e18_000980,42.616486947838375,24.707983047753494,0.05815684627642877,0.0,3.6523630619049072,3.880790948867798,0.20463780886469468
e18__e18_000993,42.86673168469595,22.954802734539157,0.0711639200793977,0.0,4.134672164916992,3.4883995056152344,0.2866416251162339
e18__e18_000998,41.97103724484167,20.327898131746313,0.09629530064337126,0.0,5.059861660003662,4.050821781158447,0.3755011802224055
e18__e18_001000,43.35783998575536,25.038354030664728,0.05598636851765899,0.0,2.9346814155578613,2.876519203186035,0.2955025100095614
e18__e18_001001,40.25590654996614,20.47917203155749,0.09463273641985878,0.0,6.333450794219971,5.027631759643555,0.29282792145711295
e18__e18_001006,39.60021258784444,19.208104923623786,0.10954555343937475,0.0,6.303853988647461,5.943444728851318,0.26722389931893376
e18__e18_001017,40.459806921781734,20.303170471085355,0.09656983212685676,0.0,5.30114221572876,5.035333156585693,0.2547836643809937
e18__e18_001018,40.862519459594644,19.938696372430897,0.10070828062078344,0.0,5.389753341674805,4.248154163360596,0.4970182394620808
e18__e18_001474,41.459588898983014,25.540621572709266,0.05284074369504406,0.0,4.129011154174805,4.4259514808654785,0.2005028289522467
e18__e18_001487,44.20175377391648,25.67168428227597,0.05204940699253609,0.0,3.225764513015747,3.423166275024414,0.1632667065524605
e18__e18_001493,47.8781152398535,21.231049890357667,0.08678556705519622,0.0,4.0700154304504395,3.1195404529571533,0.47944830109009456
e18__e18_001502,42.42252313296345,21.308432225464536,0.08601583086261143,0.0,4.03406286239624,4.109607219696045,0.3448211322228717
e18__e18_001504,42.12395607265951,22.356973589995523,0.07623445862051852,0.0,3.7101447582244873,3.982069969177246,0.2849596016136799
e18__e18_001509,42.311644664966444,21.651648495008068,0.08268325691210401,0.0,4.204590797424316,4.272523880004883,0.17794200430333101
e18__e18_001511,44.16539999961656,24.324022825100847,0.06078534118948291,0.0,3.5223300457000732,3.451287031173706,0.2363142915761136
e18__e18_001514,45.0567911325838,25.943455799947216,0.0504460551104002,0.0,2.9152204990386963,2.638073205947876,0.1983909896703632
e18__e18_001531,43.7692093893238,21.95598879929421,0.07983632915448166,0.0,4.129670143127441,4.4140238761901855,0.16971865566956074
e18__e18_001603,44.80563006600271,25.09867789242564,0.055598887970959514,0.0,2.9161417484283447,2.3604001998901367,0.2183782287435434
e18__e18_001608,42.57159452943469,24.68206181998881,0.05833066249626859,0.0,2.975100040435791,3.475626230239868,0.15567053930978195
e18__e18_001613,41.34179732505996,20.582077767858372,0.09351819407727353,0.0,4.161098480224609,4.09448766708374,0.2429856355685344
e18__e18_001615,42.02911377483389,21.162298982770366,0.08747522150166577,0.0,5.539848327636719,4.125013828277588,0.55799254317617
e18__e18_001617,41.89373932141707,24.28799192533058,0.06103801529863787,0.0,4.912919998168945,4.321807384490967,0.20042894736620415
e18__e18_001623,42.051491526585416,20.946732889991473,0.0896733419777255,0.0,4.795698642730713,4.224660873413086,0.2281735812849467
e18__e18_001631,45.827019202645445,27.03699405287303,0.04447851687311439,0.0,2.5233840942382812,2.5949041843414307,0.1899945250559531
e18__e18_001634,41.76604079685365,20.771734641000194,0.0914983511574894,0.0,4.137220859527588,4.644802570343018,0.19778225951973916
e18__e18_001635,42.86404944610474,23.292721842684333,0.06844849567285027,0.0,4.002085208892822,3.8429477214813232,0.1908517972932637
e18__e18_001647,40.196896524104595,19.181147539542604,0.1098860653457832,0.0,6.8371686935424805,4.757846355438232,0.4234945420650311
e18__e18_001650,42.41436742242564,20.638306301804757,0.09291475475094778,0.0,4.915826320648193,4.632848739624023,0.33697405763014726
e18__e18_001651,42.84161968517368,24.3648477659873,0.060500311635925084,0.0,3.2918877601623535,3.616973876953125,0.4889557601812949
e18__e18_001652,40.631752562253865,21.06576122650835,0.08845287199511494,0.0,5.683699607849121,5.012746810913086,0.3678933747198205
e18__e18_001654,42.984117739508974,24.772906078537908,0.05772377112936299,0.0,2.860776424407959,3.4655063152313232,0.15987196448857402
e18__e18_001937,41.87737609354521,22.481730500563483,0.07514731621731102,0.0,3.321780204772949,4.1072001457214355,0.1437489430411863
e18__e18_001938,42.65629812154495,24.77135592951521,0.057734073865902694,0.0,3.4550137519836426,3.5216128826141357,0.17358640604159634
e18__e18_001943,46.241675306634704,26.345182969091585,0.04816602996804921,0.0,2.409198760986328,2.2092294692993164,0.2606487600832661
e18__e18_001946,41.835083987785396,20.33833294665929,0.0961796855079044,0.0,5.2359113693237305,3.970614194869995,0.3659616433902439
e18__e18_001949,41.62947075266493,22.222948674398864,0.07741989291509173,0.0,4.146029949188232,4.383970737457275,0.3172699257706983
e18__e18_001951,43.465409405697024,25.990760777637423,0.05017206325246206,0.0,3.62009334564209,3.818317174911499,0.17086345485312782
e18__e18_001953,42.97343050960097,22.632194554472097,0.07385676348245353,0.0,3.1277105808258057,3.1625397205352783,0.18104457032544535
e18__e18_001957,45.28949957790954,24.07266553847974,0.06257008184756509,0.0,3.0425467491149902,3.045668601989746,0.202242456377692
e18__e18_001959,42.71615817868514,21.789410067200514,0.08138221324994088,0.0,3.4695940017700195,3.8420093059539795,0.17722044101878184
e18__e18_001961,43.70563461273257,24.345360090679016,0.06063620261346372,0.0,3.0949788093566895,3.235125780105591,0.19158716547304794
e18__e18_001962,43.97239096969473,25.89265209872699,0.05074197827854735,0.0,2.460383892059326,2.9427192211151123,0.15114377000462664
e18__e18_001963,46.506270671870915,26.749576272456746,0.04597494161401436,0.0,2.106623411178589,2.2957849502563477,0.21096964322343603
e18__e18_001969,43.894218454849295,23.165311679458927,0.06945994195105613,0.0,3.7043051719665527,3.3912875652313232,0.24087775001154438
e18__e18_001970,44.69517835937162,24.40826668557671,0.060198638042525135,0.0,3.1834073066711426,3.265068769454956,0.15323242046021704
e18__e18_001979,50.49317605697837,30.364220591112513,0.030324173335940993,0.0,1.465760588645935,1.300586223602295,0.3938762003437588
e18__e18_002049,54.708780826928994,26.941006885036924,0.04497277185691435,8.742014567057291e-06,2.856414318084717,4.953607559204102,0.10397463356761923
e18__e18_002055,37.45563889678599,17.69513417312857,0.13038970157257448,0.0939486821492513,10.382023811340332,5.283786296844482,0.4088120845717242
e18__e18_002056,45.1181074113626,25.061656945011933,0.05583636695349193,4.76837158203125e-07,3.294464588165283,2.436159372329712,0.13536244934724972
e18__e18_002574,37.370145577244315,21.839977075276863,0.08090980346330942,0.0,6.156917095184326,6.848320007324219,0.3460858152573217
